януари,февруари,март,април,май,юни,юли,август,септември,октомври,ноември,декември
январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
january,february,march,april,may,june,july,august,september,october,november,december
januar,februar,märz,april,mai,juni,juli,august,september,oktober,november,dezember
janvier,février,mars,avril,mai,juin,juillet,août,septembre,octobre,novembre,décembre
gennaio,febbraio,marzo,aprile,maggio,giugno,luglio,agosto,settembre,ottobre,novembre,dicembre
enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Ιανουάριος,Φεβρουάριος,Μάρτιος,Απρίλιος,Μάιος,Ιούνιος,Ιούλιος,Αύγουστος,Σεπτέμβριος,Οκτώβριος,Νοέμβριος,Δεκέμβριος
Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim,Kasım,Aralık
Ianuarie,Februarie,Martie,Aprilie,Mai,Iunie,Iulie,August,Septembrie,Octombrie,Noiembrie,Decembrie
ян,февр,март,апр,май,юни,юли,авг,септ,окт,ноем,дек
jan,feb,mar,apr,jun,jul,aug,sep,oct,nov,dec